,bpp_loss,mse_loss,psnr,loss,flops,params,labels
0,0.54879230260849,0.0026527002919465,25.76311814814698,2.2737107276916504,1707016192.0,113539,D3L1e-2N32M32
1,0.5110875964164734,0.0022181251551955,26.54013952922061,1.9534235000610352,1969225728.0,166723,D3L1e-2N32M64
2,2.4541332721710205,0.0059191943146288,22.277374028249266,6.303089141845703,2231435264.0,219907,D3L1e-2N32M96
3,3.7564969062805176,0.0065737725235521,21.821853281636344,8.031092643737793,2493644800.0,273091,D3L1e-2N32M128
4,4.679306507110596,0.0061461948789656,22.113936735756354,8.675869941711426,2755854336.0,326275,D3L1e-2N32M160
5,5.726366996765137,0.0073534580878913,21.33508378561567,10.507953643798828,3018063872.0,379459,D3L1e-2N32M192
6,5.143980979919434,0.0084057133644819,20.754254235556907,10.609796524047852,3280273408.0,432643,D3L1e-2N32M224
7,7.320010662078857,0.0108142085373401,19.660052598997652,14.35194969177246,3542482944.0,485827,D3L1e-2N32M256
8,7.837835788726807,0.0108186295256018,19.658277509822796,14.872650146484377,3804692480.0,539011,D3L1e-2N32M288
9,8.82042407989502,0.0129377217963337,18.881421918580866,17.233177185058594,4066902016.0,592195,D3L1e-2N32M320
10,0.5432668924331665,0.0020167720504105,26.95343185993154,1.854672908782959,5510725632.0,335683,D3L1e-2N64M32
11,0.5647708773612976,0.002150805434212,26.673988749077214,1.963332176208496,6035079168.0,440067,D3L1e-2N64M64
12,0.5029690861701965,0.0023002373054623,26.382273574013333,1.9986984729766848,6559432704.0,544451,D3L1e-2N64M96
13,0.5171329379081726,0.0024138097651302,26.172969600919163,2.0867128372192383,7083786240.0,648835,D3L1e-2N64M128
14,0.5291365385055542,0.0025077047757804,26.007235929594756,2.15977144241333,7608139776.0,753219,D3L1e-2N64M160
15,0.5185752511024475,0.0023345104418694,26.318041792032464,2.036590576171875,8132493312.0,857603,D3L1e-2N64M192
16,0.5163814425468445,0.0022840010933578,26.4130369252814,2.001553058624268,8656846848.0,961987,D3L1e-2N64M224
17,0.496419221162796,0.0022350251674652,26.507175821384337,1.9497443437576292,9181200384.0,1066371,D3L1e-2N64M256
18,12.9638671875,0.0048470990732312,23.14518103339365,16.115694046020508,9705553920.0,1170755,D3L1e-2N64M288
19,0.490738958120346,0.0021355936769396,26.704813736702377,1.8794087171554563,10229907456.0,1275139,D3L1e-2N64M320
20,0.5701271295547485,0.0019554838072508,27.087457759536,1.8416805267333984,11411587072.0,668419,D3L1e-2N96M32
21,0.5834282040596008,0.0019290713826194,27.146517015919237,1.8378069400787356,12198084608.0,824003,D3L1e-2N96M64
22,0.5571146011352539,0.0021684535313397,26.63849880086113,1.9671515226364136,12984582144.0,979587,D3L1e-2N96M96
23,0.5515623688697815,0.0020573281217366,26.866964374762688,1.8893399238586424,13771079680.0,1135171,D3L1e-2N96M128
24,0.5286431908607483,0.0022376077249646,26.502160473052335,1.983647584915161,14557577216.0,1290755,D3L1e-2N96M160
25,0.4918521642684936,0.0021747811697423,26.625844359758336,1.9060035943984983,15344074752.0,1446339,D3L1e-2N96M192
26,0.5001852512359619,0.0022834420669823,26.41410002366186,1.9849934577941892,16130572288.0,1601923,D3L1e-2N96M224
27,0.4975325167179107,0.002226993907243,26.522809711358605,1.9456353187561035,16917069824.0,1757507,D3L1e-2N96M256
28,0.4834103286266327,0.0022984738461673,26.385604336277652,1.9779930114746092,17703567360.0,1913091,D3L1e-2N96M288
29,0.5254707932472229,0.0018797848606482,27.258918524277156,1.7478008270263672,18490064896.0,2068675,D3L1e-2N96M320
30,0.6175321936607361,0.0018936027772724,27.227111181159437,1.8488473892211916,19409600512.0,1111747,D3L1e-2N128M32
31,0.5802984833717346,0.0019146876875311,27.17902055451654,1.8253240585327148,20458242048.0,1318531,D3L1e-2N128M64
32,0.6165044903755188,0.0019898877944797,27.011714118376183,1.910429000854492,21506883584.0,1525315,D3L1e-2N128M96
33,0.5958856344223022,0.0020746509544551,26.83054959821877,1.944927453994751,22555525120.0,1732099,D3L1e-2N128M128
34,0.5442115068435669,0.0021016139071434,26.77447066327975,1.9107859134674072,23604166656.0,1938883,D3L1e-2N128M160
35,0.5233670473098755,0.0021052099764347,26.76704580560388,1.892279863357544,24652808192.0,2145667,D3L1e-2N128M192
36,0.521129846572876,0.0022952735889703,26.391655405849054,2.0136313438415527,25701449728.0,2352451,D3L1e-2N128M224
37,0.53846275806427,0.0021728069987148,26.629788485141344,1.951330542564392,26750091264.0,2559235,D3L1e-2N128M256
38,0.4889333248138428,0.0021004059817641,26.776967535522623,1.854722261428833,27798732800.0,2766019,D3L1e-2N128M288
39,0.4833819568157196,0.0023417151533067,26.30465933717403,2.00608229637146,28847374336.0,2972803,D3L1e-2N128M320
40,0.6188362240791321,0.0017583444714546,27.54896039730434,1.762199640274048,29504765952.0,1665667,D3L1e-2N160M32
41,0.6291476488113403,0.0018052837112918,27.43454536381015,1.8030333518981931,30815551488.0,1923651,D3L1e-2N160M64
42,0.6401106119155884,0.0018076268024742,27.428912278186246,1.81551992893219,32126337024.0,2181635,D3L1e-2N160M96
43,0.609959065914154,0.0019300454296171,27.144324684016468,1.864971160888672,33437122560.0,2439619,D3L1e-2N160M128
44,0.5432173013687134,0.0020140700507909,26.959254284483023,1.8528664112091064,34747908096.0,2697603,D3L1e-2N160M160
45,0.5261700749397278,0.0020352948922663,26.91372657295972,1.8496205806732176,36058693632.0,2955587,D3L1e-2N160M192
46,0.5009511709213257,0.0021829220931977,26.609617636486703,1.9203962087631223,37369479168.0,3213571,D3L1e-2N160M224
