topology,data_bits/data_samples,data_samples,params,joules,joules_std,time,time_std,joules_per_pixel,joules_per_pixel_std,micro_joules_per_pixel,micro_joules_per_pixel_std
032_640_320_001,0.11707099469689032,3932160.0,226561,174.82580000000002,12.201761441339391,8.758928537368774,0.13486024050699483,4.4460500081380214e-05,3.103068400405729e-06,44.46050008138022,3.103068400405729
032_640_640_001,0.1176322779773424,3932160.0,432001,182.51489999999998,11.865247256263194,8.834110736846924,0.14821005009230737,4.6415939331054686e-05,3.0174884176287828e-06,46.41593933105469,3.017488417628783
032_320_640_001,0.1177384607028216,3932160.0,216641,170.66115,11.192799290494154,8.785220861434937,0.14557333885318177,4.340137481689453e-05,2.8464760565424993e-06,43.40137481689453,2.8464760565424996
032_640_160_001,0.11787748063604035,3932160.0,123841,165.3632,11.481129449106287,8.749324560165405,0.15120171146534298,4.2054036458333335e-05,2.9198022077194944e-06,42.054036458333336,2.9198022077194947
032_160_640_001,0.1188350671591858,3932160.0,108961,166.73265,11.57435505556406,8.766879796981812,0.14309056829883646,4.2402305603027345e-05,2.943510705455541e-06,42.40230560302735,2.9435107054555414
032_320_320_001,0.11887745858790975,3932160.0,113601,161.67955,10.697721041178555,8.739109754562378,0.1508607328759772,4.11172358194987e-05,2.7205711469468575e-06,41.1172358194987,2.7205711469468574
032_640_080_001,0.11939715358118215,3932160.0,72481,162.63565,11.863175554999753,8.74087405204773,0.12967521885091693,4.1360384623209635e-05,3.01696155675246e-06,41.36038462320964,3.01696155675246
032_640_040_001,0.1197162180673331,3932160.0,46801,158.94585,11.22443736891715,8.720916986465454,0.1474374916687915,4.04220199584961e-05,2.8545220359591546e-06,40.4220199584961,2.8545220359591545
032_320_160_001,0.1204806297707061,3932160.0,62081,156.871,11.413685913439764,8.726989984512329,0.1374023784537092,3.9894358317057294e-05,2.9026504296467497e-06,39.894358317057296,2.9026504296467497
032_160_320_001,0.12052268264815212,3932160.0,57121,156.40605,11.460435278880427,8.716312885284424,0.14261323679391716,3.9776115417480464e-05,2.914539408081163e-06,39.77611541748047,2.914539408081163
032_080_640_001,0.12078044872420528,3932160.0,55121,161.10375,11.083582427837733,8.739441633224487,0.14221898663005955,4.0970802307128905e-05,2.81870077205346e-06,40.970802307128906,2.81870077205346
032_640_020_001,0.12108663953840733,3932160.0,33961,159.08825000000002,11.22473576089923,8.742172002792358,0.14439509396447908,4.045823415120443e-05,2.8545979209643633e-06,40.45823415120444,2.8545979209643635
032_320_080_001,0.12185500829170147,3932160.0,36321,152.8152,10.912081035376021,8.711563110351562,0.1416428078400643,3.88629150390625e-05,2.7750857125284886e-06,38.8629150390625,2.775085712528489
